epoca,split,mse_padronizado,marco_runs
126,treino,0.30760634279774673,40
126,validacao,0.7932095605253785,40
126,teste,0.8422703132827878,40
127,treino,0.3105176504411116,40
127,validacao,0.7906996247397973,40
127,teste,0.8542254350631046,40
128,treino,0.2991141719632446,40
128,validacao,0.7809088653480091,40
128,teste,0.8563742939387612,40
129,treino,0.30814578398943404,40
129,validacao,0.7763805564009661,40
129,teste,0.8608814839695871,40
130,treino,0.29958581137204304,40
130,validacao,0.7817250279495873,40
130,teste,0.8539475993737752,40
131,treino,0.29522394061117235,40
131,validacao,0.7964125115158485,40
131,teste,0.8542931124377237,40
132,treino,0.3050350630269874,40
132,validacao,0.7980102767467699,40
132,teste,0.8703736311549132,40
133,treino,0.292222907325349,40
133,validacao,0.7874542779199665,40
133,teste,0.8693817865417951,40
134,treino,0.29871350835067056,40
134,validacao,0.7796187307002648,40
134,teste,0.8721550558727748,40
135,treino,0.2941538051384306,40
135,validacao,0.7917361672586306,40
135,teste,0.8645456332827374,40
136,treino,0.28614727893798336,40
136,validacao,0.7973130989947727,40
136,teste,0.867417503056298,40
137,treino,0.29661267774662203,40
137,validacao,0.8117813919511643,40
137,teste,0.8816238846185517,40
138,treino,0.28555585110409315,40
138,validacao,0.7975418399574877,40
138,teste,0.88830619308066,40
139,treino,0.2885156888470882,40
139,validacao,0.7877644020182645,40
139,teste,0.8808238223062949,40
140,treino,0.2902561894797298,40
140,validacao,0.7921877393356901,40
140,teste,0.8810935611485712,40
141,treino,0.2782800277739934,40
141,validacao,0.8075154873034647,40
141,teste,0.879208525809481,40
142,treino,0.29224728007432305,40
142,validacao,0.8169004826661576,40
142,teste,0.8940871647091648,40
143,treino,0.2821533054271765,40
143,validacao,0.8115369350555183,40
143,teste,0.9059183938501728,40
144,treino,0.2808112183294321,40
144,validacao,0.7920815978868964,40
144,teste,0.8933440387212729,40
145,treino,0.28840011831320084,40
145,validacao,0.797734589045092,40
145,teste,0.8935400104238083,40
146,treino,0.2722285299187924,40
146,validacao,0.8101802729838713,40
146,teste,0.8913418342311902,40
147,treino,0.28605473984797797,40
147,validacao,0.8284067446043641,40
147,teste,0.9003372957600196,40
148,treino,0.28107138647700486,40
148,validacao,0.8264393014001304,40
148,teste,0.9228807866786012,40
149,treino,0.27569474162256974,40
149,validacao,0.8003501639029488,40
149,teste,0.9054411179140395,40
150,treino,0.28850395368848264,40
150,validacao,0.8067294350463977,40
150,teste,0.9030694909931843,40
151,treino,0.26914126338185457,40
151,validacao,0.8183017213504425,40
151,teste,0.9016459391321568,40
152,treino,0.283335819001092,40
152,validacao,0.8442223006539882,40
152,teste,0.9125122810188486,40
153,treino,0.27961264368744837,40
153,validacao,0.833066923990847,40
