alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo
delta_depth_close_5m_pp,pan_comp_delta_rad,Comandos reativos,0.034488020464777946,3.4488020464777946,5
delta_depth_close_5m_pp,point_risk_mean_delta_basis,Optical flow e risco,0.01337527111172676,1.337527111172676,35
delta_depth_close_5m_pp,point_risk_p75_delta_basis,Optical flow e risco,0.01909564808011055,1.909564808011055,23
delta_depth_close_5m_pp,radial_flow_mean_px,Optical flow e risco,0.011510387063026428,1.1510387063026428,40
delta_depth_close_5m_pp,radial_flow_p90_px,Optical flow e risco,0.014662263914942741,1.4662263914942741,33
delta_depth_p10_m,delta_accel_x_m_s2,IMU e atitude,0.02780442126095295,2.780442126095295,11
delta_depth_p10_m,delta_accel_y_m_s2,IMU e atitude,0.03702366352081299,3.702366352081299,5
delta_depth_p10_m,delta_accel_z_m_s2,IMU e atitude,0.014409531839191914,1.4409531839191914,30
delta_depth_p10_m,delta_avoid_brake,Comandos reativos,0.012768021784722805,1.2768021784722805,36
delta_depth_p10_m,delta_avoid_lateral_body,Comandos reativos,0.013901743106544018,1.3901743106544018,32
delta_depth_p10_m,delta_gyro_x_rad_s,IMU e atitude,0.01794513501226902,1.794513501226902,24
delta_depth_p10_m,delta_gyro_y_rad_s,IMU e atitude,0.026158228516578674,2.6158228516578674,14
delta_depth_p10_m,delta_gyro_z_rad_s,IMU e atitude,0.0076136402785778046,0.7613640278577805,43
delta_depth_p10_m,delta_obstacle_risk,Comandos reativos,0.009214847348630428,0.9214847348630428,41
delta_depth_p10_m,delta_pitch_rad,IMU e atitude,0.09159231185913086,9.159231185913086,1
delta_depth_p10_m,delta_roll_rad,IMU e atitude,0.04080727510154247,4.080727510154247,3
delta_depth_p10_m,delta_smooth_vx_m_s,Movimento,0.01668367348611355,1.6683673486113548,27
delta_depth_p10_m,delta_smooth_vy_m_s,Movimento,0.02655952051281929,2.655952051281929,13
delta_depth_p10_m,delta_x_m,Movimento,0.03163641691207886,3.1636416912078857,7
delta_depth_p10_m,delta_y_m,Movimento,0.017734579741954803,1.7734579741954803,25
delta_depth_p10_m,delta_yaw_attitude_rad,IMU e atitude,0.024904930032789707,2.4904930032789707,15
delta_depth_p10_m,delta_yaw_heading_rad,IMU e atitude,0.018519955687224865,1.8519955687224865,23
delta_depth_p10_m,delta_z_m,Movimento,0.012851635925471783,1.2851635925471783,35
delta_depth_p10_m,depth_age_s,Sincronizacao,0.022722061723470688,2.272206172347069,17
delta_depth_p10_m,depth_dt_s,Sincronizacao,0.030102018266916275,3.0102018266916275,9
delta_depth_p10_m,dt_s,Sincronizacao,0.020193932577967644,2.0193932577967644,19
delta_depth_p10_m,flow_active_points,Optical flow e risco,0.017569083720445633,1.7569083720445633,26
delta_depth_p10_m,flow_mag_mean_px,Optical flow e risco,0.02031966671347618,2.031966671347618,18
delta_depth_p10_m,flow_mag_p90_px,Optical flow e risco,0.030740762129426003,3.0740762129426003,8
delta_depth_p10_m,flow_mean_x_px,Optical flow e risco,0.011901679448783398,1.1901679448783398,38
delta_depth_p10_m,flow_mean_y_px,Optical flow e risco,0.01657843589782715,1.6578435897827148,28
delta_depth_p10_m,flow_track_retention_pct,Optical flow e risco,0.019103940576314926,1.9103940576314926,20
delta_depth_p10_m,flow_valid_points,Optical flow e risco,0.018981661647558212,1.8981661647558212,22
