alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo,representacao_angular
delta_depth_p50_m,img_delta_abs_p90,Diferenca de imagem,0.014486386440694332,1.4486386440694332,34,seno/cosseno
delta_depth_p50_m,flow_vec_rel_std,Optical flow e risco,0.011491240002214909,1.1491240002214909,43,seno/cosseno
delta_depth_p50_m,flow_vec_xy_mean,Optical flow e risco,0.01194000244140625,1.194000244140625,40,seno/cosseno
delta_depth_p50_m,flow_vec_radial_mean,Optical flow e risco,0.009997614659368992,0.9997614659368992,47,seno/cosseno
delta_depth_p50_m,flow_vec_risk_mean,Optical flow e risco,0.014926087111234665,1.4926087111234665,31,seno/cosseno
delta_depth_p50_m,delta_roll_rad_sin,IMU e atitude,0.018440240994095802,1.8440240994095802,21,seno/cosseno
delta_depth_p50_m,delta_roll_rad_cos,IMU e atitude,0.011257895268499851,1.1257895268499851,44,seno/cosseno
delta_depth_p50_m,delta_pitch_rad_sin,IMU e atitude,0.08371437340974808,8.371437340974808,1,seno/cosseno
delta_depth_p50_m,delta_pitch_rad_cos,IMU e atitude,0.0108605632558465,1.08605632558465,46,seno/cosseno
delta_depth_p50_m,delta_yaw_heading_rad_sin,IMU e atitude,0.019054491072893143,1.9054491072893143,18,seno/cosseno
delta_depth_p50_m,delta_yaw_heading_rad_cos,IMU e atitude,0.011978564783930779,1.1978564783930779,39,seno/cosseno
delta_depth_p50_m,delta_yaw_attitude_rad_sin,IMU e atitude,0.009324191138148308,0.9324191138148308,52,seno/cosseno
delta_depth_p50_m,delta_yaw_attitude_rad_cos,IMU e atitude,0.012904040515422821,1.290404051542282,37,seno/cosseno
delta_depth_p50_m,gyro_x_integral_rad_sin,IMU e atitude,0.015728659927845,1.5728659927845001,27,seno/cosseno
delta_depth_p50_m,gyro_x_integral_rad_cos,IMU e atitude,0.017624713480472565,1.7624713480472565,24,seno/cosseno
delta_depth_p50_m,gyro_y_integral_rad_sin,IMU e atitude,0.049161750823259354,4.916175082325935,2,seno/cosseno
delta_depth_p50_m,gyro_y_integral_rad_cos,IMU e atitude,0.026424700394272804,2.6424700394272804,8,seno/cosseno
delta_depth_p50_m,gyro_z_integral_rad_sin,IMU e atitude,0.009337227791547775,0.9337227791547775,51,seno/cosseno
delta_depth_p50_m,gyro_z_integral_rad_cos,IMU e atitude,0.011853941716253757,1.1853941716253757,41,seno/cosseno
delta_depth_p50_m,pan_comp_delta_rad_sin,Comandos reativos,0.011096232570707798,1.1096232570707798,45,seno/cosseno
delta_depth_p50_m,pan_comp_delta_rad_cos,Comandos reativos,0.027828874066472054,2.7828874066472054,7,seno/cosseno
delta_depth_p90_m,dt_s,Sincronizacao,0.017247425392270088,1.7247425392270088,27,seno/cosseno
delta_depth_p90_m,depth_age_s,Sincronizacao,0.019470252096652985,1.9470252096652985,19,seno/cosseno
delta_depth_p90_m,depth_dt_s,Sincronizacao,0.022207289934158325,2.2207289934158325,11,seno/cosseno
delta_depth_p90_m,delta_x_m,Movimento,0.017428847029805183,1.7428847029805183,25,seno/cosseno
delta_depth_p90_m,delta_y_m,Movimento,0.01682724989950657,1.682724989950657,29,seno/cosseno
delta_depth_p90_m,delta_z_m,Movimento,0.021732866764068604,2.1732866764068604,13,seno/cosseno
delta_depth_p90_m,delta_gyro_x_rad_s,IMU e atitude,0.016611171886324883,1.6611171886324883,31,seno/cosseno
delta_depth_p90_m,delta_gyro_y_rad_s,IMU e atitude,0.028970127925276756,2.8970127925276756,5,seno/cosseno
delta_depth_p90_m,delta_gyro_z_rad_s,IMU e atitude,0.01754443161189556,1.7544431611895561,24,seno/cosseno
delta_depth_p90_m,delta_accel_x_m_s2,IMU e atitude,0.02767561748623848,2.767561748623848,7,seno/cosseno
delta_depth_p90_m,delta_accel_y_m_s2,IMU e atitude,0.041296932846307755,4.1296932846307755,2,seno/cosseno
