modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,validacao,delta_depth_close_2m_pp,1.0931381387242307,1.5657153348831345,0.651297360664855,Sem Comandos reativos,Comandos reativos,47,84,102,1.120390941079035,-0.027252802354804206,-2.43243687141538
MLP,validacao,delta_depth_close_5m_pp,1.3517290115347886,1.7558729262329609,0.5422788312067938,Sem Comandos reativos,Comandos reativos,47,84,102,1.3509588505785146,0.0007701609562740241,0.05700846890667483
MLP,validacao,delta_depth_close_10m_pp,0.846442073743246,1.145698719845843,0.5713544784602521,Sem Comandos reativos,Comandos reativos,47,84,102,0.8709211434408002,-0.0244790696975542,-2.8107102327132947
MLP,teste,delta_depth_p10_m,0.09152465857580422,0.23941912337164323,0.0700565749742649,Sem Comandos reativos,Comandos reativos,47,84,102,0.09112127768098484,0.0004033808948193801,0.44268573168125974
MLP,teste,delta_depth_p50_m,0.18487717186477273,0.27597430677340745,0.044760234266260426,Sem Comandos reativos,Comandos reativos,47,84,102,0.1751227571153419,0.00975441474943084,5.570044070860674
MLP,teste,delta_depth_p90_m,0.9214476460226851,1.6439906000114948,-0.1901447772467161,Sem Comandos reativos,Comandos reativos,47,84,102,0.9258965420762096,-0.004448896053524498,-0.48049602210938097
MLP,teste,delta_depth_close_2m_pp,1.0726993785356171,1.6978235094398169,-0.07734358546318656,Sem Comandos reativos,Comandos reativos,47,84,102,1.0586362442217192,0.01406313431389794,1.3284198789393213
MLP,teste,delta_depth_close_5m_pp,1.83189038331608,2.917780553570736,0.0707307586638276,Sem Comandos reativos,Comandos reativos,47,84,102,1.7378282747955924,0.09406210852048758,5.412623898730811
MLP,teste,delta_depth_close_10m_pp,0.8154267674899336,1.115939586295047,0.4322549992336409,Sem Comandos reativos,Comandos reativos,47,84,102,0.828562366184958,-0.013135598695024453,-1.5853482165146062
MLP,validacao,delta_depth_p10_m,0.0632213060935843,0.09596328375666918,0.2823502433000113,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.062326611546142004,0.0008946945474422943,1.4354936442837565
MLP,validacao,delta_depth_p50_m,0.20381878271479817,0.2889881102418677,0.42449822992669434,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.19989270995206693,0.003926072762731242,1.964090017926462
MLP,validacao,delta_depth_p90_m,1.1677712620621818,3.270232848575751,0.11624945318971334,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,1.159770854288838,0.008000407773343765,0.6898265932238442
MLP,validacao,delta_depth_close_2m_pp,1.1380216737459277,1.7071148730870125,0.5573177913890772,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,1.1361823853793527,0.001839288366574987,0.16188319676870178
MLP,validacao,delta_depth_close_5m_pp,1.3733402408804978,1.7923567942880005,0.5273926744140688,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,1.389594420885174,-0.016254180004676266,-1.1697067691393237
MLP,validacao,delta_depth_close_10m_pp,0.8679199018304216,1.1834265122950125,0.5461853579655431,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.8821392088590073,-0.01421930702858576,-1.6119119165984648
MLP,teste,delta_depth_p10_m,0.089546033148804,0.23329607090343585,0.1878587077712546,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.08872678624886957,0.0008192468999344282,0.9233366095741645
MLP,teste,delta_depth_p50_m,0.18762043980445633,0.27752814644050977,0.10982617140738235,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.17948897800190336,0.008131461802552975,4.530340466068477
MLP,teste,delta_depth_p90_m,0.8712913724185126,1.5128233785301124,0.13670402005141505,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.9298173297268457,-0.0585259573083331,-6.294350023087479
MLP,teste,delta_depth_close_2m_pp,1.0352587001927647,1.621792979243624,0.14223291257883686,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,1.0235444487981558,0.01171425139460891,1.1444790119631605
MLP,teste,delta_depth_close_5m_pp,1.7846898727466975,2.829853945976967,0.20387888675494759,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,1.7601244119324158,0.024565460814281792,1.3956661613091157
MLP,teste,delta_depth_close_10m_pp,0.8178217298522445,1.146852862104258,0.3945862583200382,Sem Diferenca de imagem,Diferenca de imagem,48,21,33,0.8161416257902834,0.001680104061961174,0.20585937646965397
MLP,validacao,delta_depth_p10_m,0.06351848330951283,0.09158997910720544,0.34159861259159885,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.0676433667978813,-0.0041248834883684665,-6.097986666887292
MLP,validacao,delta_depth_p50_m,0.20483526520650178,0.2894901536680834,0.41635562994515163,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.19678962808102368,0.008045637125478095,4.088445719387957
MLP,validacao,delta_depth_p90_m,1.1408002594662856,3.2825377642010864,0.07678401714057269,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,1.201333108853642,-0.06053284938735648,-5.038806384443965
MLP,validacao,delta_depth_close_2m_pp,1.1887615431617151,1.7794409909597317,0.46106743798635486,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,1.1978100406351802,-0.009048497473465034,-0.7554200721732768
MLP,validacao,delta_depth_close_5m_pp,1.3803828345209375,1.810029508250466,0.5091611302611434,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,1.4182106781901573,-0.037827843669219874,-2.6672936715928337
