modelo,split,alvo_delta,MAE,RMSE,corr,marco_runs,estrategia_split
MLP,treino,delta_depth_p90_m,1.34978395338922,2.9716835284927763,0.3445546164670151,25,validacao_teste_fixos
MLP,treino,delta_depth_close_2m_pp,1.4702150523156563,2.714664697779403,0.4105731564073491,25,validacao_teste_fixos
MLP,treino,delta_depth_close_5m_pp,1.6090791664376616,2.6942674481395823,0.6121019835358882,25,validacao_teste_fixos
MLP,treino,delta_depth_close_10m_pp,0.968890756108011,1.4490340532794899,0.5098179161129978,25,validacao_teste_fixos
Media treino,treino,delta_depth_p10_m,0.10305118485582765,0.246775306987646,,25,validacao_teste_fixos
Media treino,treino,delta_depth_p50_m,0.24284907912722206,0.3887281751749996,,25,validacao_teste_fixos
Media treino,treino,delta_depth_p90_m,1.3729626489284674,3.102266406734184,,25,validacao_teste_fixos
Media treino,treino,delta_depth_close_2m_pp,1.6290153016123108,2.9551346246768784,,25,validacao_teste_fixos
Media treino,treino,delta_depth_close_5m_pp,1.9466994773792794,3.349814435480313,,25,validacao_teste_fixos
Media treino,treino,delta_depth_close_10m_pp,1.0736614121667676,1.6529302472601972,,25,validacao_teste_fixos
MLP,validacao,delta_depth_p10_m,0.06218666348058097,0.09176408845845777,0.3247733589406824,25,validacao_teste_fixos
MLP,validacao,delta_depth_p50_m,0.19994230949703384,0.29010690908092074,0.4171265903380131,25,validacao_teste_fixos
MLP,validacao,delta_depth_p90_m,1.1455099408198721,3.3041581214341504,0.000231050845452083,25,validacao_teste_fixos
MLP,validacao,delta_depth_close_2m_pp,1.1503778985691229,1.7949043141197143,0.4616091421993671,25,validacao_teste_fixos
MLP,validacao,delta_depth_close_5m_pp,1.3437127587025959,1.8045782246837827,0.5106578568096316,25,validacao_teste_fixos
MLP,validacao,delta_depth_close_10m_pp,0.859117559654217,1.166256539700335,0.6036436226314591,25,validacao_teste_fixos
Media treino,validacao,delta_depth_p10_m,0.06309347072260407,0.09526141843473333,,25,validacao_teste_fixos
Media treino,validacao,delta_depth_p50_m,0.2200984539451942,0.31469509822694225,,25,validacao_teste_fixos
Media treino,validacao,delta_depth_p90_m,1.1529265450285608,3.2914874895696506,,25,validacao_teste_fixos
Media treino,validacao,delta_depth_close_2m_pp,1.2140115989554081,1.9824282195684662,,25,validacao_teste_fixos
Media treino,validacao,delta_depth_close_5m_pp,1.551957581218649,2.081570346378748,,25,validacao_teste_fixos
Media treino,validacao,delta_depth_close_10m_pp,0.9586980180006418,1.3362118559823903,,25,validacao_teste_fixos
MLP,teste,delta_depth_p10_m,0.0889100309141848,0.22654076623978914,0.32881665318646436,25,validacao_teste_fixos
MLP,teste,delta_depth_p50_m,0.18090206876080087,0.2721901841851941,0.14735191250884147,25,validacao_teste_fixos
MLP,teste,delta_depth_p90_m,0.9224161056769477,1.6111926772478533,-0.1840214883082008,25,validacao_teste_fixos
MLP,teste,delta_depth_close_2m_pp,1.0449682080144795,1.5876300384757338,0.25822884147477326,25,validacao_teste_fixos
MLP,teste,delta_depth_close_5m_pp,1.7988168981020398,2.774598216245343,0.2734979041969069,25,validacao_teste_fixos
MLP,teste,delta_depth_close_10m_pp,0.857674683665422,1.1732981750618103,0.3287426573028889,25,validacao_teste_fixos
Media treino,teste,delta_depth_p10_m,0.08654038177491503,0.23792472321509167,,25,validacao_teste_fixos
Media treino,teste,delta_depth_p50_m,0.1906113107376816,0.2719885123326874,,25,validacao_teste_fixos
Media treino,teste,delta_depth_p90_m,0.8367228381936278,1.52053537594967,,25,validacao_teste_fixos
Media treino,teste,delta_depth_close_2m_pp,1.092284866297183,1.6153783322538176,,25,validacao_teste_fixos
Media treino,teste,delta_depth_close_5m_pp,1.8490165356075647,2.879383536338158,,25,validacao_teste_fixos
Media treino,teste,delta_depth_close_10m_pp,0.9253338906723875,1.243388539409549,,25,validacao_teste_fixos
MLP,treino,delta_depth_p10_m,0.10067331163627684,0.26115897549260864,0.44718812533859925,33,validacao_teste_fixos
MLP,treino,delta_depth_p50_m,0.20597135921066814,0.327788743460943,0.5605335506696638,33,validacao_teste_fixos
MLP,treino,delta_depth_p90_m,1.2412608853883664,2.701136414616517,0.3729593322754158,33,validacao_teste_fixos
MLP,treino,delta_depth_close_2m_pp,1.5092204392902804,2.870453435142369,0.41701142833009636,33,validacao_teste_fixos
MLP,treino,delta_depth_close_5m_pp,1.5901564047483656,2.616368236552083,0.6207049770453853,33,validacao_teste_fixos
MLP,treino,delta_depth_close_10m_pp,0.9610513101236142,1.4570952254013265,0.4991473743827264,33,validacao_teste_fixos
Media treino,treino,delta_depth_p10_m,0.11289812830369647,0.28842305444911537,,33,validacao_teste_fixos
Media treino,treino,delta_depth_p50_m,0.2422173062805033,0.38508558115530406,,33,validacao_teste_fixos
Media treino,treino,delta_depth_p90_m,1.2639850982242473,2.846994976284632,,33,validacao_teste_fixos
Media treino,treino,delta_depth_close_2m_pp,1.694636471716464,3.1269935854136457,,33,validacao_teste_fixos
Media treino,treino,delta_depth_close_5m_pp,1.9355346675424845,3.2625431845679866,,33,validacao_teste_fixos
Media treino,treino,delta_depth_close_10m_pp,1.0725302822608,1.6461299302678754,,33,validacao_teste_fixos
MLP,validacao,delta_depth_p10_m,0.06327814880867677,0.0931292411550482,0.3104554142930046,33,validacao_teste_fixos
MLP,validacao,delta_depth_p50_m,0.2049707922646228,0.2897246751229975,0.4325065624331727,33,validacao_teste_fixos
MLP,validacao,delta_depth_p90_m,1.165391250191533,3.286610705021734,0.0553342907668773,33,validacao_teste_fixos
MLP,validacao,delta_depth_close_2m_pp,1.147611660503796,1.7519086739468988,0.5107822242432138,33,validacao_teste_fixos
MLP,validacao,delta_depth_close_5m_pp,1.3667203890841098,1.799269421970909,0.5196200618161948,33,validacao_teste_fixos
