timestamp,x,y,z,roll_speed,pitch_speed,yaw_speed
1776120066.177932,64.81751,-49.194504,-2.019226,0.04277688,0.50663805,0.72971386
1776120066.185932,64.77219,-49.14404,-2.0204163,0.048187215,0.505289,0.7441265
1776120066.193932,64.726906,-49.09338,-2.0216026,0.05211158,0.503643,0.7571092
1776120066.209932,64.636154,-48.99169,-2.0245018,0.06217397,0.49690607,0.7808381
1776120066.217932,64.59069,-48.940666,-2.0261917,0.06805543,0.4931128,0.79181236
1776120066.233932,64.499916,-48.838085,-2.0294876,0.07899522,0.4807489,0.8086055
1776120066.241932,64.454285,-48.786747,-2.0316353,0.08275264,0.47545892,0.8189667
1776120066.249932,64.408714,-48.735237,-2.0337524,0.08849607,0.46976265,0.8243331
1776120066.257932,64.3632,-48.68356,-2.03582,0.0938094,0.45972538,0.8319426
1776120066.265932,64.317726,-48.63172,-2.0378342,0.09849649,0.45205158,0.8367641
1776120066.281932,64.22631,-48.52801,-2.042736,0.10672027,0.4331322,0.84576756
1776120066.289932,64.180695,-48.47592,-2.045086,0.10973177,0.4244125,0.8480691
1776120066.297932,64.13513,-48.423683,-2.047371,0.11326972,0.41412827,0.8515223
1776120066.305932,64.08931,-48.371532,-2.050087,0.11828301,0.40562108,0.8526615
1776120066.321932,63.997845,-48.266792,-2.055275,0.12456407,0.38688037,0.85348487
1776120066.329932,63.9522,-48.21421,-2.0577507,0.12802294,0.37545943,0.8534659
1776120066.337932,63.9063,-48.1617,-2.0606117,0.13085735,0.3651385,0.85237855
1776120066.345932,63.860462,-48.109055,-2.0633812,0.13370118,0.35518706,0.85119206
1776120066.361932,63.76898,-48.00336,-2.0686455,0.13862471,0.3341748,0.847565
1776120066.369932,63.72301,-47.950535,-2.0716057,0.14128344,0.32425162,0.8447649
1776120066.377932,63.67711,-47.897583,-2.0744667,0.14356019,0.31572437,0.8397874
1776120066.385932,63.63127,-47.844505,-2.0772247,0.14503516,0.30591458,0.8352086
1776120066.401932,63.539467,-47.73821,-2.0828705,0.1493663,0.2873778,0.8250692
1776120066.409932,63.493504,-47.68499,-2.0857506,0.15171462,0.27683225,0.81952345
1776120066.417932,63.447605,-47.631657,-2.0885239,0.15248139,0.26671502,0.8132776
1776120066.425932,63.401775,-47.578205,-2.0912018,0.15525162,0.25767967,0.80686575
1776120066.441932,63.309696,-47.471416,-2.0970993,0.1578494,0.23912363,0.792266
1776120066.449932,63.263756,-47.41785,-2.0998802,0.159534,0.23001945,0.7845871
1776120066.457932,63.217888,-47.36417,-2.1025505,0.16017199,0.22146475,0.77488506
1776120066.465932,63.17208,-47.310387,-2.1051102,0.16210411,0.21343946,0.765943
1776120066.473932,63.126053,-47.25675,-2.1079788,0.16308512,0.20437105,0.7569844
1776120066.489932,63.034195,-47.149147,-2.1133652,0.16442478,0.18767732,0.73704743
1776120066.497932,62.988365,-47.09519,-2.1158905,0.16452157,0.18044546,0.727566
1776120066.505932,62.942318,-47.0414,-2.1187134,0.1664952,0.17095311,0.71777624
1776120066.521932,62.850426,-46.933506,-2.1240005,0.16998176,0.15641347,0.69403595
1776120066.529932,62.804577,-46.879406,-2.1264725,0.170468,0.14911611,0.6834297
1776120066.537932,62.758503,-46.82548,-2.1292343,0.1710253,0.14132938,0.6718927
1776120066.545932,62.712498,-46.771458,-2.131897,0.1704307,0.13376328,0.66035676
1776120066.561932,62.62068,-46.663113,-2.136856,0.17322223,0.119668245,0.6348256
1776120066.569932,62.574585,-46.60907,-2.1395683,0.17362013,0.11295848,0.62269574
1776120066.577932,62.528553,-46.554928,-2.1421547,0.17479809,0.106111206,0.6099632
1776120066.585932,62.482586,-46.500687,-2.144619,0.17508253,0.09970008,0.59739435
1776120066.601932,62.390533,-46.39218,-2.149582,0.17613384,0.08811026,0.57073945
1776120066.609932,62.34445,-46.337917,-2.152092,0.1768327,0.08210799,0.55677193
1776120066.617932,62.298435,-46.283558,-2.15448,0.17664237,0.07643538,0.5444082
